id,title,authors,subjects,abs_link,pdf_link
arXiv:2507.06221,Aligned Textual Scoring Rules,"Yuxuan Lu, Yifan Wu, Jason Hartline, Michael J. Curry",Artificial Intelligence (cs.AI); Computer Science and Game Theory (cs.GT),https://arxiv.org/abs/2507.06221,https://arxiv.org/pdf/2507.06221
arXiv:2507.06213,Identifiability in Causal Abstractions: A Hierarchy of Criteria,"Clément Yvernes, Emilie Devijver, Marianne Clausel, Eric Gaussier",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06213,https://arxiv.org/pdf/2507.06213
arXiv:2507.06187,The Delta Learning Hypothesis: Preference Tuning on Weak Data can Yield Strong Gains,"Scott Geng, Hamish Ivison, Chun-Liang Li, Maarten Sap, Jerry Li, Ranjay Krishna, Pang Wei Koh",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06187,https://arxiv.org/pdf/2507.06187
arXiv:2507.06134,OpenAgentSafety: A Comprehensive Framework for Evaluating Real-World AI Agent Safety,"Sanidhya Vijayvargiya, Aditya Bharat Soni, Xuhui Zhou, Zora Zhiruo Wang, Nouha Dziri, Graham Neubig, Maarten Sap",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06134,https://arxiv.org/pdf/2507.06134
arXiv:2507.06077,AI-Based Demand Forecasting and Load Balancing for Optimising Energy use in Healthcare Systems: A real case study,"Iman Rahimi, Isha Patel",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06077,https://arxiv.org/pdf/2507.06077
arXiv:2507.06057,FEVO: Financial Knowledge Expansion and Reasoning Evolution for Large Language Models,"Bo Pang, Yalu Ouyang, Hangfei Xu, Ziqi Jia, Panpan Li, Shengzhao Wen, Lu Wang, Shiyong Li, Yanpeng Wang",Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06057,https://arxiv.org/pdf/2507.06057
arXiv:2507.06042,On Lockean beliefs that are deductively closed and minimal change,"Tommaso Flaminio, Lluis Godo, Ramón Pino Pérez, Lluis Subirana",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06042,https://arxiv.org/pdf/2507.06042
arXiv:2507.06029,Feature-Guided Neighbor Selection for Non-Expert Evaluation of Model Predictions,"Courtney Ford, Mark T. Keane",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06029,https://arxiv.org/pdf/2507.06029
arXiv:2507.06013,CogniSQL-R1-Zero: Lightweight Reinforced Reasoning for Efficient SQL Generation,"Kushal Gajjar, Harshit Sikchi, Arpit Singh Gautam, Marc Hammons, Saurabh Jha",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06013,https://arxiv.org/pdf/2507.06013
arXiv:2507.05984,Development and Evaluation of HopeBot: an LLM-based chatbot for structured and interactive PHQ-9 depression screening,"Zhijun Guo, Alvina Lai, Julia Ive, Alexandru Petcu, Yutong Wang, Luyuan Qi, Johan H Thygesen, Kezhi Li",Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Human-Computer Interaction (cs.HC),https://arxiv.org/abs/2507.05984,https://arxiv.org/pdf/2507.05984
arXiv:2507.05976,Enhancing the Interpretability of Rule-based Explanations through Information Retrieval,"Alessandro Umbrico, Guido Bologna, Luca Coraci, Francesca Fracasso, Silvia Gola, Gabriella Cortellessa",Artificial Intelligence (cs.AI); Information Retrieval (cs.IR),https://arxiv.org/abs/2507.05976,https://arxiv.org/pdf/2507.05976
arXiv:2507.05938,A Wireless Foundation Model for Multi-Task Prediction,"Yucheng Sheng, Jiacheng Wang, Xingyu Zhou, Le Liang, Hao Ye, Shi Jin, Geoffrey Ye Li",Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.05938,https://arxiv.org/pdf/2507.05938
arXiv:2507.05934,BlueLM-2.5-3B Technical Report,"Baojiao Xiong, Boheng Chen, Chengzhi Wang, Daxiong Luo, Dongsheng Xu, Dongyang Liu, Fan Yang, Fangyuan Li, Fei Teng, Feng Wang, Fukang Qin, Fuquan Peng, Guanxin Tan, Guozhi Wang, Haibo Yu, Haohao Gao, Heng Liu, Hongbo Yang, Hongjian Zou, Houzheng Shen, Hu Meng, Huan Li, Hui Tan, Jiali Chen, Jianzhao Chen, Jinliang Zhu, Kai Wang, Lei Wu, Liangbing Liu, Liuyang Bian, Liyan He, Long Liu, Peiwen Li, Penggang Shi, Qi Ding, Rui Hu, Shuai Cao, Shuai Ren, Shuang Peng, Teng Xie, Weiji Chen, Weilin Xiang, Weixin Wu, Xi Yin, Xiaoxin Chen, Xu Chen, Yafei Wen, Yan Hu, Yanzhou Yang, Yina Xie, Yinghao Chen, Yixuan Liao, Yu Geng, Yuanjiang Ouyang, Yuanzhuo Yang, Yuehua He, Yushuai Peng, Zhaoxiong Wang, Zheng Wang, Zhibo Zhou, Ziyang Wu",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05934,https://arxiv.org/pdf/2507.05934
arXiv:2507.05894,MusiScene: Leveraging MU-LLaMA for Scene Imagination and Enhanced Video Background Music Generation,"Fathinah Izzati, Xinyue Li, Yuxuan Wu, Gus Xia",Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.05894,https://arxiv.org/pdf/2507.05894
arXiv:2507.05891,"Decomposing the Time Series Forecasting Pipeline: A Modular Approach for Time Series Representation, Information Extraction, and Projection","Robert Leppich, Michael Stenger, André Bauer, Samuel Kounev",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05891,https://arxiv.org/pdf/2507.05891
arXiv:2507.05886,Current Practices for Building LLM-Powered Reasoning Tools Are Ad Hoc -- and We Can Do Better,Aaron Bembenek,Artificial Intelligence (cs.AI); Programming Languages (cs.PL),https://arxiv.org/abs/2507.05886,https://arxiv.org/pdf/2507.05886
arXiv:2507.05868,CogniPlay: a work-in-progress Human-like model for General Game Playing,"Aloïs Rautureau, Éric Piette",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05868,https://arxiv.org/pdf/2507.05868
arXiv:2507.05816,Affective-ROPTester: Capability and Bias Analysis of LLMs in Predicting Retinopathy of Prematurity,"Shuai Zhao, Yulin Zhang, Luwei Xiao, Xinyi Wu, Yanhao Jia, Zhongliang Guo, Xiaobao Wu, Cong-Duy Nguyen, Guoming Zhang, Anh Tuan Luu","Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE); Computation and Language (cs.CL)",https://arxiv.org/abs/2507.05816,https://arxiv.org/pdf/2507.05816
arXiv:2507.05791,GTA1: GUI Test-time Scaling Agent,"Yan Yang, Dongxu Li, Yutong Dai, Yuhao Yang, Ziyang Luo, Zirui Zhao, Zhiyuan Hu, Junzhe Huang, Amrita Saha, Zeyuan Chen, Ran Xu, Liyuan Pan, Caiming Xiong, Junnan Li",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05791,https://arxiv.org/pdf/2507.05791
arXiv:2507.05765,Real-time monitoring of the SoH of lithium-ion batteries,"Bruno Jammes, Edgar Hernando Sepúlveda-Oviedo, Corinne Alonso",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05765,https://arxiv.org/pdf/2507.05765
arXiv:2507.05755,An autonomous agent for auditing and improving the reliability of clinical AI models,"Lukas Kuhn, Florian Buettner",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05755,https://arxiv.org/pdf/2507.05755
arXiv:2507.05716,Divergent Realities: A Comparative Analysis of Human Expert vs. Artificial Intelligence Based Generation and Evaluation of Treatment Plans in Dermatology,"Dipayan Sengupta, Saumya Panda",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05716,https://arxiv.org/pdf/2507.05716
arXiv:2507.05651,City-Level Foreign Direct Investment Prediction with Tabular Learning on Judicial Data,"Tianxing Wu, Lizhe Cao, Shuang Wang, Jiming Wang, Shutong Zhu, Yerong Wu, Yuqing Feng",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05651,https://arxiv.org/pdf/2507.05651
arXiv:2507.05638,LLMs are Introvert,"Litian Zhang, Xiaoming Zhang, Bingyu Yan, Ziyi Zhou, Bo Zhang, Zhenyu Guan, Xi Zhang, Chaozhuo Li",Artificial Intelligence (cs.AI); Social and Information Networks (cs.SI),https://arxiv.org/abs/2507.05638,https://arxiv.org/pdf/2507.05638
arXiv:2507.05629,Enhancing Student Learning with LLM-Generated Retrieval Practice Questions: An Empirical Study in Data Science Courses,"Yuan An, John Liu, Niyam Acharya, Ruhma Hashmi",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05629,https://arxiv.org/pdf/2507.05629
arXiv:2507.05624,ADMC: Attention-based Diffusion Model for Missing Modalities Feature Completion,"Wei Zhang, Juan Chen, Yanbo J. Wang, En Zhu, Xuan Yang, Yiduo Wang",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05624,https://arxiv.org/pdf/2507.05624
arXiv:2507.05613,Domain adaptation of large language models for geotechnical applications,"Lei Fan, Fangxue Liu, Cheng Chen",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05613,https://arxiv.org/pdf/2507.05613
arXiv:2507.05591,MLlm-DR: Towards Explainable Depression Recognition with MultiModal Large Language Models,"Wei Zhang, Juan Chen, En Zhu, Wenhong Cheng, YunPeng Li, Yanbo J. Wang",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05591,https://arxiv.org/pdf/2507.05591
arXiv:2507.05587,Towards Measurement Theory for Artificial Intelligence,Elija Perrier,Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05587,https://arxiv.org/pdf/2507.05587
arXiv:2507.05566,SingLoRA: Low Rank Adaptation Using a Single Matrix,"David Bensaïd, Noam Rotstein, Roy Velich, Daniel Bensaïd, Ron Kimmel",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05566,https://arxiv.org/pdf/2507.05566
arXiv:2507.05541,SenseCF: LLM-Prompted Counterfactuals for Intervention and Sensor Data Augmentation,"Shovito Barua Soumma, Asiful Arefeen, Stephanie M. Carpenter, Melanie Hingle, Hassan Ghasemzadeh",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05541,https://arxiv.org/pdf/2507.05541
arXiv:2507.05538,Red Teaming AI Red Teaming,"Subhabrata Majumdar, Brian Pendleton, Abhishek Gupta",Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR); Computers and Society (cs.CY),https://arxiv.org/abs/2507.05538,https://arxiv.org/pdf/2507.05538
arXiv:2507.05528,Conversational Education at Scale: A Multi-LLM Agent Workflow for Procedural Learning and Pedagogic Quality Assessment,"Jiahuan Pei, Fanghua Ye, Xin Sun, Wentao Deng, Koen Hindriks, Junxiao Wang",Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.05528,https://arxiv.org/pdf/2507.05528
arXiv:2507.05520,Cultivating Multimodal Intelligence: Interpretive Reasoning and Agentic RAG Approaches to Dermatological Diagnosis,"Karishma Thakrar, Shreyas Basavatia, Akshay Daftardar",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05520,https://arxiv.org/pdf/2507.05520
arXiv:2507.05519,Modeling (Deontic) Modal Operators With the s(CASP) Goal-directed Predicated Answer Set Programming System,"Gopal Gupta, Abhiramon Rajasekharan, Alexis R. Tudor, Elmer Salazar, Joaquín Arias",Artificial Intelligence (cs.AI); Logic in Computer Science (cs.LO),https://arxiv.org/abs/2507.05519,https://arxiv.org/pdf/2507.05519
arXiv:2507.05515,Fine-Grained Vision-Language Modeling for Multimodal Training Assistants in Augmented Reality,"Haochen Huang, Jiahuan Pei, Mohammad Aliannejadi, Xin Sun, Moonisa Ahsan, Pablo Cesar, Chuang Yu, Zhaochun Ren, Junxiao Wang",Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.05515,https://arxiv.org/pdf/2507.05515
arXiv:2507.05495,Deep Research Comparator: A Platform For Fine-grained Human Annotations of Deep Research Agents,"Prahaladh Chandrahasan, Jiahe Jin, Zhihan Zhang, Tevin Wang, Andy Tang, Lucy Mo, Morteza Ziyadi, Leonardo F.R. Ribeiro, Zimeng Qiu, Markus Dreyer, Akari Asai, Chenyan Xiong",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05495,https://arxiv.org/pdf/2507.05495
arXiv:2507.05488,OLG++: A Semantic Extension of Obligation Logic Graph,"Subhasis Dasgupta, Jon Stephens, Amarnath Gupta",Artificial Intelligence (cs.AI); Computers and Society (cs.CY),https://arxiv.org/abs/2507.05488,https://arxiv.org/pdf/2507.05488
arXiv:2507.05297,Fuzzy Classification Aggregation for a Continuum of Agents,Zijun Meng,Artificial Intelligence (cs.AI); Theoretical Economics (econ.TH),https://arxiv.org/abs/2507.05297,https://arxiv.org/pdf/2507.05297
arXiv:2507.05283,Chat2SPaT: A Large Language Model Based Tool for Automating Traffic Signal Control Plan Management,"Yue Wang, Miao Zhou, Guijing Huang, Rui Zhuo, Chao Yi, Zhenliang Ma",Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.05283,https://arxiv.org/pdf/2507.05283
arXiv:2507.05267,Strongly Solving $7 \times 6$ Connect-Four on Consumer Grade Hardware,Markus Böck,Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05267,https://arxiv.org/pdf/2507.05267
arXiv:2507.06229,Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving,"Xiangru Tang, Tianrui Qin, Tianhao Peng, Ziyang Zhou, Daniel Shao, Tingting Du, Xinming Wei, Peng Xia, Fang Wu, He Zhu, Ge Zhang, Jiaheng Liu, Xingyao Wang, Sirui Hong, Chenglin Wu, Hao Cheng, Chi Wang, Wangchunshu Zhou",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06229,https://arxiv.org/pdf/2507.06229
arXiv:2507.06224,EC-Flow: Enabling Versatile Robotic Manipulation from Action-Unlabeled Videos via Embodiment-Centric Flow,"Yixiang Chen, Peiyan Li, Yan Huang, Jiabing Yang, Kehan Chen, Liang Wang",Robotics (cs.RO); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06224,https://arxiv.org/pdf/2507.06224
arXiv:2507.06223,Efficiency-Effectiveness Reranking FLOPs for LLM-based Rerankers,"Zhiyuan Peng, Ting-ruen Wei, Tingyu Song, Yilun Zhao, Yi Fang",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06223,https://arxiv.org/pdf/2507.06223
arXiv:2507.06219,Is Diversity All You Need for Scalable Robotic Manipulation?,"Modi Shi, Li Chen, Jin Chen, Yuxiang Lu, Chiming Liu, Guanghui Ren, Ping Luo, Di Huang, Maoqing Yao, Hongyang Li",Robotics (cs.RO); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06219,https://arxiv.org/pdf/2507.06219
arXiv:2507.06204,Differential Mamba,"Nadav Schneider, Itamar Zimerman, Eliya Nachmani",Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.06204,https://arxiv.org/pdf/2507.06204
arXiv:2507.06196,UQLM: A Python Package for Uncertainty Quantification in Large Language Models,"Dylan Bouchard, Mohit Singh Chauhan, David Skarbrevik, Ho-Kyeong Ra, Viren Bajaj, Zeya Ahmad",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06196,https://arxiv.org/pdf/2507.06196
arXiv:2507.06192,SQLBarber: A System Leveraging Large Language Models to Generate Customized and Realistic SQL Workloads,"Jiale Lao, Immanuel Trummer",Databases (cs.DB); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG),https://arxiv.org/abs/2507.06192,https://arxiv.org/pdf/2507.06192
arXiv:2507.06189,DS@GT at CheckThat! 2025: Detecting Subjectivity via Transfer-Learning and Corrective Data Augmentation,"Maximilian Heil, Dionne Bang",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06189,https://arxiv.org/pdf/2507.06189
arXiv:2507.06185,Hidden Prompts in Manuscripts Exploit AI-Assisted Peer Review,Zhicheng Lin,Computers and Society (cs.CY); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Human-Computer Interaction (cs.HC),https://arxiv.org/abs/2507.06185,https://arxiv.org/pdf/2507.06185
arXiv:2507.06174,Fast Bilateral Teleoperation and Imitation Learning Using Sensorless Force Control via Accurate Dynamics Model,"Koki Yamane, Yunhan Li, Masashi Konosu, Koki Inami, Junji Oaki, Sho Sakaino, Toshiaki Tsuji",Robotics (cs.RO); Artificial Intelligence (cs.AI); Systems and Control (eess.SY),https://arxiv.org/abs/2507.06174,https://arxiv.org/pdf/2507.06174
arXiv:2507.06173,A Method for Optimizing Connections in Differentiable Logic Gate Networks,"Wout Mommen, Lars Keuninckx, Matthias Hartmann, Piet Wambacq",Machine Learning (cs.LG); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06173,https://arxiv.org/pdf/2507.06173
arXiv:2507.06164,Critical Nodes Identification in Complex Networks: A Survey,"Duxin Chen, Jiawen Chen, Xiaoyu Zhang, Qinghan Jia, Xiaolu Liu, Ye Sun, Linyuan Lv, Wenwu Yu",Social and Information Networks (cs.SI); Artificial Intelligence (cs.AI); Applied Physics (physics.app-ph),https://arxiv.org/abs/2507.06164,https://arxiv.org/pdf/2507.06164
arXiv:2507.06149,Fast and Accurate Collision Probability Estimation for Autonomous Vehicles using Adaptive Sigma-Point Sampling,"Charles Champagne Cossette, Taylor Scott Clawson, Andrew Feit",Robotics (cs.RO); Artificial Intelligence (cs.AI); Computational Geometry (cs.CG),https://arxiv.org/abs/2507.06149,https://arxiv.org/pdf/2507.06149
arXiv:2507.06148,SoftReMish: A Novel Activation Function for Enhanced Convolutional Neural Networks for Visual Recognition Performance,Mustafa Bayram Gücen,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Neural and Evolutionary Computing (cs.NE),https://arxiv.org/abs/2507.06148,https://arxiv.org/pdf/2507.06148
arXiv:2507.06140,LangMamba: A Language-driven Mamba Framework for Low-dose CT Denoising with Vision-language Models,"Zhihao Chen, Tao Chen, Chenhui Wang, Qi Gao, Huidong Xie, Chuang Niu, Ge Wang, Hongming Shan",Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.06140,https://arxiv.org/pdf/2507.06140
arXiv:2507.06139,Topic Modeling and Link-Prediction for Material Property Discovery,"Ryan C. Barron, Maksim E. Eren, Valentin Stanev, Cynthia Matuszek, Boian S. Alexandrov","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computational Engineering, Finance, and Science (cs.CE)",https://arxiv.org/abs/2507.06139,https://arxiv.org/pdf/2507.06139
arXiv:2507.06138,Coding Triangle: How Does Large Language Model Understand Code?,"Taolin Zhang, Zihan Ma, Maosong Cao, Junnan Liu, Songyang Zhang, Kai Chen",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06138,https://arxiv.org/pdf/2507.06138
arXiv:2507.06137,NeoBabel: A Multilingual Open Tower for Visual Generation,"Mohammad Mahdi Derakhshani, Dheeraj Varghese, Marzieh Fadaee, Cees G. M. Snoek",Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.06137,https://arxiv.org/pdf/2507.06137
